+---------------+-----------+-----------------------------------------------------------------+---------------------------------+
|  Tx-Block ID  | Timestamp |                              Sender                             |             Receiver            |
|               |  986.4220 |                             Node FN1                            |             ['FN6']             |
|               |  986.4232 |                                FN1                              |                FN6              |
|               |  986.4232 | .4232 : Node FN6 (Leader) received voted Tx-block TB_FN6_986420 |         Node FN6 (Leader)       |
| TB_FN6_186620 |           |                                                                 |                                 |
|               |  186.6200 |                             Node FN6                            |             ['FN1']             |
|               |  186.6206 |                                FN6                              |                FN1              |
|               |  186.6206 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  186.6213 |                                FN1                              |               FN10              |
|               |  186.6216 |                                FN1                              |               FN12              |
|               |  186.6218 |                                FN1                              |               FN13              |
|               |  186.6218 |                                FN1                              |                FN0              |
|               |  186.6218 |                             Node FN0                            |             ['FN1']             |
|               |  186.6224 |                                FN0                              |                FN1              |
|               |  186.6224 |                      Node FN1 (shard node)                      |                []               |
|               |  186.6224 |                             Node FN1                            |             ['FN6']             |
|               |  186.6234 |                                FN1                              |                FN6              |
|               |  186.6234 | .6234 : Node FN6 (Leader) received voted Tx-block TB_FN6_186620 |         Node FN6 (Leader)       |
| TB_FN6_559860 |           |                                                                 |                                 |
|               |  559.8600 |                             Node FN6                            |             ['FN1']             |
|               |  559.8605 |                                FN6                              |                FN1              |
|               |  559.8605 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  559.8612 |                                FN1                              |               FN12              |
|               |  559.8613 |                                FN1                              |               FN13              |
|               |  559.8614 |                                FN1                              |               FN10              |
|               |  559.8617 |                                FN1                              |                FN0              |
|               |  559.8617 |                             Node FN0                            |             ['FN1']             |
|               |  559.8622 |                                FN0                              |                FN1              |
|               |  559.8622 |                      Node FN1 (shard node)                      |                []               |
|               |  559.8622 |                             Node FN1                            |             ['FN6']             |
|               |  559.8634 |                                FN1                              |                FN6              |
|               |  559.8634 | .8634 : Node FN6 (Leader) received voted Tx-block TB_FN6_559860 |         Node FN6 (Leader)       |
| TB_FN6_293260 |           |                                                                 |                                 |
|               |  293.2600 |                             Node FN6                            |             ['FN1']             |
|               |  293.2606 |                                FN6                              |                FN1              |
|               |  293.2606 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  293.2607 |                                FN1                              |               FN12              |
|               |  293.2611 |                                FN1                              |               FN10              |
|               |  293.2616 |                                FN1                              |                FN0              |
|               |  293.2618 |                                FN1                              |               FN13              |
|               |  293.2618 |                            Node FN13                            |             ['FN1']             |
|               |  293.2625 |                               FN13                              |                FN1              |
|               |  293.2625 |                      Node FN1 (shard node)                      |                []               |
|               |  293.2625 |                             Node FN1                            |             ['FN6']             |
|               |  293.2631 |                                FN1                              |                FN6              |
|               |  293.2631 | .2631 : Node FN6 (Leader) received voted Tx-block TB_FN6_293260 |         Node FN6 (Leader)       |
| TB_FN6_879780 |           |                                                                 |                                 |
|               |  879.7800 |                             Node FN6                            |             ['FN1']             |
|               |  879.7803 |                                FN6                              |                FN1              |
|               |  879.7803 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  879.7805 |                                FN1                              |               FN10              |
|               |  879.7807 |                                FN1                              |               FN12              |
|               |  879.7813 |                                FN1                              |                FN0              |
|               |  879.7817 |                                FN1                              |               FN13              |
|               |  879.7817 |                            Node FN13                            |             ['FN1']             |
|               |  879.7824 |                               FN13                              |                FN1              |
|               |  879.7824 |                      Node FN1 (shard node)                      |                []               |
|               |  879.7824 |                             Node FN1                            |             ['FN6']             |
|               |  879.7828 |                                FN1                              |                FN6              |
|               |  879.7828 | .7828 : Node FN6 (Leader) received voted Tx-block TB_FN6_879780 |         Node FN6 (Leader)       |
| TB_FN6_933100 |           |                                                                 |                                 |
|               |  933.1000 |                             Node FN6                            |             ['FN1']             |
|               |  933.1005 |                                FN6                              |                FN1              |
|               |  933.1005 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  933.1009 |                                FN1                              |               FN10              |
|               |  933.1009 |                                FN1                              |               FN12              |
|               |  933.1013 |                                FN1                              |               FN13              |
|               |  933.1015 |                                FN1                              |                FN0              |
|               |  933.1015 |                             Node FN0                            |             ['FN1']             |
|               |  933.1021 |                                FN0                              |                FN1              |
|               |  933.1021 |                      Node FN1 (shard node)                      |                []               |
|               |  933.1021 |                             Node FN1                            |             ['FN6']             |
|               |  933.1032 |                                FN1                              |                FN6              |
|               |  933.1032 | .1032 : Node FN6 (Leader) received voted Tx-block TB_FN6_933100 |         Node FN6 (Leader)       |
+---------------+-----------+-----------------------------------------------------------------+---------------------------------+
